id	gloss	domain	tier	pos_hint	is_root	derivation	source	notes
AGR-004	leaf	AGR	1	n	yes		SW,LJ	
AGR-005	root (of plant)	AGR	1	n	yes		SW	
AGR-006	seed	AGR	1	n	yes		SW	
AGR-007	flower	AGR	2	n	yes		IDS	
AGR-008	grass	AGR	2	n	yes		SW	
AGR-009	fruit	AGR	2	n	yes		LJ	
FOO-001	food	FOO	1	n	yes		IDS	promoted to root — ultra-basic, high-transfer (rule 1)
FOO-002	milk	FOO	2	n	yes		IDS	
FOO-003	salt	FOO	2	n	yes		SW	
FOO-004	oil / fat	FOO	2	n	yes		SW	
FOO-005	cook	FOO	2	v	yes		IDS	
FOO-006	sweet	FOO	2	mod	yes		IDS	taste
FOO-007	bread	FOO	3	n	yes		MOD	internationalism candidate (Stage 2)
FOO-008	rice	FOO	3	n	yes		MOD	internationalism candidate
CLO-001	clothing	CLO	2	n	yes		IDS	
CLO-002	shoe	CLO	2	n	yes		IDS	
CLO-003	wear	CLO	2	v	yes		IDS	
DWE-001	house	DWE	1	n	yes		SW,LJ	
DWE-002	door	DWE	2	n	yes		IDS	
DWE-003	roof	DWE	2	n	yes		IDS	
DWE-004	bed	DWE	2	n	yes		IDS	
DWE-005	table	DWE	2	n	yes		MOD	internationalism candidate
DWE-006	knife	DWE	1	n	yes		SW	
DWE-007	rope	DWE	2	n	yes		SW	
DWE-008	thing / object	DWE	1	n	yes		IDS	high-frequency generic
DWE-009	tool	DWE	2	n	yes		IDS	
ACT-001	do / make	ACT	1	v	yes		SW	
ACT-002	go	ACT	1	v	yes		SW,LJ	
ACT-003	come	ACT	1	v	yes		SW,LJ	
ACT-004	walk	ACT	1	v	yes		SW	
ACT-005	run	ACT	2	v	yes		IDS	
ACT-006	stand	ACT	1	v	yes		SW	
ACT-007	sit	ACT	1	v	yes		SW	
ACT-008	lie down	ACT	2	v	yes		SW	
ACT-009	give	ACT	1	v	yes		SW,LJ	
ACT-010	take	ACT	1	v	yes		SW	
ACT-011	hold	ACT	2	v	yes		SW	
ACT-012	bring	ACT	2	v	no	come + -ta(causative)	IDS	derivable — pruned (policy demo)
ACT-013	carry	ACT	2	v	yes		IDS	
ACT-014	put	ACT	2	v	yes		SW	
ACT-015	throw	ACT	2	v	yes		SW	
ACT-016	fall	ACT	1	v	yes		SW,LJ	
ACT-017	turn	ACT	2	v	yes		SW	
ACT-018	move	ACT	2	v	yes		IDS	
ACT-019	open	ACT	2	v	yes		IDS	core pair with shut
ACT-020	shut / close	ACT	2	v	no	open + -ku(opposite)	IDS	derivable (reverse action) — pruned (policy demo)
ACT-021	break	ACT	1	v	yes		SW,LJ	
ACT-022	cut	ACT	1	v	yes		SW,LJ	
ACT-023	hit / strike	ACT	2	v	yes		SW	
ACT-024	push	ACT	2	v	yes		SW	
ACT-025	pull	ACT	2	v	yes		SW	
ACT-026	tie / bind	ACT	2	v	yes		SW	
ACT-027	wash	ACT	2	v	yes		SW	
ACT-028	rub	ACT	2	v	yes		SW	
ACT-029	dig	ACT	2	v	yes		SW	
ACT-030	burn	ACT	1	v	yes		SW,LJ	
ACT-031	flow	ACT	2	v	yes		SW	
ACT-032	swim	ACT	2	v	yes		SW	
ACT-033	fly	ACT	2	v	yes		SW	
ACT-034	work	ACT	1	v	yes		IDS	
ACT-035	play	ACT	2	v	yes		IDS	
ACT-036	use	ACT	2	v	yes		IDS	
ACT-037	help	ACT	2	v	yes		IDS	
ACT-038	begin / start	ACT	2	v	yes		IDS	core pair with stop
ACT-039	stop	ACT	2	v	yes		IDS	
ACT-040	finish / end	ACT	2	v	yes		IDS	
ACT-041	kill	ACT	1	v	no	die + -ta(causative)	SW,LJ	derivable — pruned (classic policy demo)
ACT-042	grow	ACT	2	v	yes		SW	
MOT-001	enter	MOT	2	v	yes		IDS	
MOT-002	leave / exit	MOT	2	v	yes		IDS	
MOT-003	arrive	MOT	2	v	yes		IDS	
MOT-004	follow	MOT	2	v	yes		IDS	
MOT-005	rise / climb	MOT	2	v	yes		IDS	
MOT-006	send	MOT	2	v	yes		IDS	
SPA-001	this	SPA	1	fun	yes		SW	demonstrative (proximal)
SPA-002	that	SPA	1	fun	yes		SW	demonstrative (distal)
SPA-003	here	SPA	1	fun	yes		SW	
SPA-004	there	SPA	1	fun	yes		SW	
SPA-005	place	SPA	1	n	yes		IDS	
SPA-006	up / above	SPA	1	fun	yes		IDS	
SPA-007	down / below	SPA	1	fun	yes		IDS	
SPA-008	inside / in	SPA	2	fun	yes		IDS	cf. locative role marker lo (0002 §4)
SPA-009	outside / out	SPA	2	fun	yes		IDS	
SPA-010	front	SPA	2	n	yes		IDS	
SPA-011	back / behind	SPA	2	n	yes		IDS	
SPA-012	left	SPA	2	mod	yes		IDS	
SPA-013	right (side)	SPA	2	mod	yes		IDS	distinct from 'correct' PROP-042
SPA-014	side	SPA	2	n	yes		IDS	
SPA-015	middle / center	SPA	2	n	yes		IDS	
PER-001	see	PER	1	v	yes		SW,LJ	
PER-002	hear	PER	1	v	yes		SW	
PER-003	smell	PER	2	v	yes		SW	
PER-004	taste	PER	2	v	yes		IDS	
PER-005	touch	PER	2	v	yes		IDS	
PER-006	look at / watch	PER	2	v	yes		IDS	kept (active vs passive 'see')
PER-007	listen	PER	2	v	yes		IDS	kept (active vs passive 'hear')
PER-008	color	PER	2	n	yes		IDS	
PER-009	sound	PER	2	n	yes		IDS	
EMO-001	love	EMO	2	v	yes		IDS	
EMO-002	like	EMO	2	v	yes		IDS	
EMO-003	want	EMO	1	v	yes		IDS	
EMO-004	fear	EMO	1	v	yes		SW	
EMO-005	happy	EMO	2	mod	yes		IDS	core pair with sad
EMO-006	sad	EMO	2	mod	yes		IDS	promoted to root — basic emotion, high-transfer (rule 1)
EMO-007	angry	EMO	2	mod	yes		IDS	
EMO-008	laugh	EMO	2	v	yes		SW	
EMO-009	cry	EMO	2	v	yes		SW	
COG-001	know	COG	1	v	yes		SW,LJ	
COG-002	think	COG	1	v	yes		SW	
COG-003	understand	COG	2	v	yes		IDS	
COG-004	learn	COG	2	v	yes		IDS	teach = learn+causative (see COG-005)
COG-005	teach	COG	2	v	yes		IDS	promoted to root — many L1s lexicalise (rule 1)
COG-006	remember	COG	2	v	yes		IDS	core pair with forget
COG-007	forget	COG	2	v	no	remember + -ku(opposite)	IDS	derivable — pruned (policy demo)
COG-008	believe	COG	2	v	yes		IDS	
COG-009	mind / idea	COG	2	n	yes		IDS	
SPE-001	say / speak	SPE	1	v	yes		SW	
SPE-002	word	SPE	1	n	yes		SW	
SPE-003	name	SPE	1	n	yes		SW,LJ	
SPE-004	language	SPE	2	n	yes		IDS	
SPE-005	ask	SPE	2	v	yes		IDS	
SPE-006	answer	SPE	2	v	yes		IDS	
SPE-007	read	SPE	2	v	yes		MOD	
SPE-008	write	SPE	2	v	yes		IDS	
SPE-009	mean / meaning	SPE	2	n	yes		IDS	
POS-001	have	POS	1	v	yes		IDS	possession
POS-002	get / receive	POS	2	v	yes		IDS	
POS-003	buy	POS	2	v	yes		IDS	core pair with sell
POS-004	sell	POS	2	v	no	buy + -ku(opposite)	IDS	derivable (reverse transaction) — pruned (policy demo)
POS-005	pay	POS	2	v	yes		IDS	
SOC-001	group	SOC	2	n	yes		IDS	
SOC-002	leader	SOC	2	n	no	lead + -ki(agent)	IDS	derivable — pruned
SOC-003	war	SOC	2	n	yes		IDS	
SOC-004	fight	SOC	2	v	yes		IDS	
SOC-005	city / town	SOC	2	n	yes		IDS	
SOC-006	country	SOC	2	n	yes		IDS	
SOC-007	lead	SOC	2	v	yes		IDS	base for leader = lead+agent (SOC-002)
MOD-001	money	MOD	2	n	yes		MOD	internationalism candidate
MOD-002	book	MOD	2	n	yes		MOD	
MOD-003	paper	MOD	2	n	yes		MOD	internationalism candidate
MOD-004	school	MOD	2	n	no	learn + -de(place)	MOD	derivable — pruned (policy demo)
MOD-005	car	MOD	2	n	yes		MOD	internationalism candidate (auto-)
MOD-006	road / street	MOD	2	n	yes		IDS	
MOD-007	bus	MOD	3	n	yes		MOD	internationalism candidate
MOD-008	train	MOD	3	n	yes		MOD	internationalism candidate
MOD-009	phone	MOD	3	n	yes		MOD	internationalism candidate (telephone)
MOD-010	computer	MOD	3	n	yes		MOD	internationalism candidate
MOD-011	internet	MOD	3	n	yes		MOD	internationalism candidate
MOD-012	electricity	MOD	3	n	yes		MOD	internationalism candidate
MOD-013	machine	MOD	3	n	yes		MOD	internationalism candidate
MOD-014	hospital	MOD	3	n	yes		MOD	internationalism candidate
MOD-015	medicine	MOD	3	n	yes		MOD	internationalism candidate
MOD-016	doctor	MOD	3	n	yes		MOD	promoted to root — specific profession, meaning drifts from 'healer' (rule 1)
MOD-017	market	MOD	2	n	no	buy + -de(place)	IDS	derivable — pruned (policy demo)
MOD-018	government	MOD	3	n	yes		MOD	institution; full SOC/MOD set in the full sweep	
